,일자,요일,요일(2),지점명,지점번호,방향,구분,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
0,20230901,금,평일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,600.0,448.0,290.0,255.0,298.0,680.0,1637.0,2473.0,2470.0,2117.0,2006.0,1974.0,1680.0,1757.0,1810.0,1849.0,2055.0,2067.0,1873.0,1391.0,1279.0,1213.0,1117.0,902.0
1,20230902,토,주말,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,604.0,487.0,344.0,257.0,290.0,540.0,931.0,1117.0,1539.0,1987.0,2085.0,2066.0,2087.0,1909.0,1900.0,1816.0,1726.0,1862.0,1528.0,1259.0,1053.0,1017.0,1059.0,801.0
2,20230903,일,주말,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,487.0,384.0,269.0,195.0,183.0,298.0,571.0,790.0,1163.0,1536.0,1740.0,1671.0,1692.0,1747.0,1639.0,1582.0,1612.0,1517.0,1258.0,1141.0,1027.0,1067.0,838.0,607.0
3,20230904,월,평일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,318.0,228.0,164.0,170.0,268.0,702.0,1882.0,2648.0,2466.0,2063.0,1686.0,1915.0,1649.0,1520.0,1574.0,1695.0,1801.0,1917.0,1849.0,1421.0,1256.0,1249.0,1049.0,816.0
4,20230905,화,평일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,514.0,346.0,257.0,194.0,287.0,650.0,1710.0,2488.0,2409.0,2097.0,1918.0,1960.0,1793.0,1571.0,1791.0,1801.0,1853.0,1943.0,1875.0,1522.0,1282.0,1308.0,1116.0,827.0
5,20230906,수,평일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,570.0,389.0,324.0,250.0,367.0,698.0,1703.0,2522.0,2434.0,2131.0,1920.0,2015.0,1882.0,1605.0,1661.0,1891.0,1969.0,2065.0,1859.0,1452.0,1285.0,1206.0,1109.0,826.0
6,20230907,목,평일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,574.0,423.0,276.0,243.0,302.0,700.0,1754.0,2465.0,2329.0,2174.0,1975.0,1958.0,1866.0,1629.0,1767.0,1943.0,1933.0,2023.0,2080.0,1608.0,1267.0,1374.0,1181.0,907.0
7,20230908,금,평일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,658.0,465.0,349.0,251.0,313.0,731.0,1699.0,2529.0,2372.0,2074.0,1862.0,2096.0,1853.0,1744.0,1866.0,1884.0,1936.0,2026.0,2025.0,1515.0,1184.0,1241.0,1229.0,857.0
8,20230909,토,주말,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,621.0,493.0,411.0,316.0,306.0,510.0,998.0,1114.0,1481.0,1846.0,2023.0,2067.0,1970.0,1962.0,1892.0,1755.0,1926.0,1806.0,1609.0,1296.0,1046.0,1057.0,987.0,789.0
9,20230910,일,주말,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,531.0,395.0,361.0,288.0,228.0,317.0,599.0,818.0,1175.0,1597.0,1757.0,1739.0,1721.0,1785.0,1621.0,1566.0,1487.0,1498.0,1282.0,1121.0,1044.0,1083.0,893.0,541.0
10,20230911,월,평일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,334.0,227.0,186.0,146.0,243.0,714.0,1939.0,2648.0,2539.0,2236.0,1826.0,1838.0,1767.0,1533.0,1619.0,1801.0,1813.0,1941.0,1759.0,1425.0,1163.0,1169.0,1030.0,825.0
11,20230912,화,평일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,518.0,372.0,252.0,207.0,324.0,728.0,1721.0,2512.0,2479.0,2217.0,1957.0,2047.0,1695.0,1788.0,1810.0,1878.0,1818.0,1995.0,1990.0,1379.0,1225.0,1204.0,1197.0,845.0
12,20230913,수,평일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,562.0,356.0,275.0,191.0,301.0,705.0,1736.0,2510.0,2479.0,2198.0,1821.0,1950.0,1703.0,1701.0,1666.0,1724.0,1989.0,2144.0,1926.0,1566.0,1130.0,1184.0,1068.0,739.0
13,20230914,목,평일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,487.0,382.0,266.0,230.0,288.0,637.0,1726.0,2504.0,2425.0,2056.0,1965.0,2041.0,1846.0,1774.0,1912.0,1987.0,1946.0,2097.0,1893.0,1521.0,1303.0,1321.0,1180.0,921.0
14,20230915,금,평일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,608.0,455.0,335.0,233.0,299.0,671.0,1703.0,2410.0,2449.0,2150.0,1978.0,2048.0,1836.0,1840.0,1957.0,2028.0,2153.0,2099.0,1996.0,1577.0,1247.0,1219.0,,
15,20230916,토,주말,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,,,409.0,271.0,346.0,492.0,906.0,1059.0,1431.0,1882.0,2049.0,2013.0,2092.0,1966.0,1887.0,1900.0,2021.0,1813.0,1609.0,1273.0,1065.0,1161.0,929.0,673.0
16,20230917,일,주말,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,413.0,325.0,245.0,170.0,227.0,308.0,579.0,779.0,1133.0,1535.0,1811.0,1813.0,1781.0,1690.0,1647.0,1670.0,1592.0,1568.0,1451.0,1139.0,1042.0,1073.0,1084.0,608.0
17,20230918,월,평일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,353.0,231.0,187.0,180.0,310.0,764.0,1971.0,2700.0,2570.0,2096.0,2011.0,2056.0,1836.0,1710.0,1729.0,1890.0,1870.0,2115.0,1844.0,1333.0,1183.0,1262.0,1151.0,784.0
18,20230919,화,평일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,591.0,378.0,229.0,203.0,304.0,716.0,1757.0,2603.0,2493.0,2088.0,1744.0,2076.0,1819.0,1889.0,1867.0,1862.0,1845.0,1998.0,1837.0,1498.0,1321.0,1387.0,1211.0,835.0
19,20230920,수,평일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,563.0,364.0,250.0,214.0,309.0,704.0,1658.0,2459.0,2402.0,2115.0,1866.0,1834.0,1714.0,1512.0,1576.0,1775.0,2006.0,2130.0,1796.0,1427.0,1155.0,1265.0,1097.0,742.0
20,20230921,목,평일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,516.0,391.0,254.0,229.0,317.0,704.0,1704.0,2607.0,2436.0,2029.0,1826.0,2022.0,1846.0,1929.0,1958.0,1905.0,1881.0,2115.0,1884.0,1598.0,1296.0,1339.0,1289.0,948.0
21,20230922,금,평일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,673.0,509.0,350.0,249.0,361.0,674.0,1771.0,2618.0,2405.0,2144.0,2077.0,2113.0,1813.0,1924.0,1992.0,2005.0,2047.0,2083.0,2072.0,1668.0,1306.0,1246.0,,
22,20230923,토,주말,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,,,,295.0,357.0,480.0,939.0,1533.0,1668.0,1940.0,2002.0,1951.0,2061.0,1865.0,1880.0,1729.0,1802.0,1555.0,1594.0,1134.0,1088.0,1121.0,,
23,20230924,일,주말,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,,,,,,,598.0,821.0,1197.0,1590.0,1814.0,1784.0,1690.0,1746.0,1699.0,1632.0,1550.0,1525.0,1253.0,1138.0,1094.0,964.0,763.0,574.0
24,20230925,월,평일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,353.0,251.0,175.0,155.0,273.0,742.0,1936.0,2758.0,2502.0,2183.0,1833.0,1985.0,1757.0,1694.0,1694.0,1861.0,1944.0,1986.0,1885.0,1436.0,1313.0,1218.0,1096.0,694.0
25,20230926,화,평일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,478.0,390.0,231.0,192.0,282.0,672.0,1631.0,2469.0,2318.0,1984.0,1855.0,1781.0,1929.0,1599.0,,,,,1917.0,1550.0,1274.0,1278.0,1199.0,817.0
26,20230927,수,평일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,523.0,367.0,296.0,201.0,317.0,670.0,1584.0,2318.0,2403.0,1885.0,1458.0,1794.0,1874.0,1685.0,1904.0,2044.0,2093.0,2060.0,1910.0,1426.0,1175.0,1167.0,1103.0,803.0
27,20230928,일,주말,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,545.0,358.0,278.0,194.0,232.0,330.0,464.0,583.0,757.0,1055.0,1447.0,1944.0,1906.0,1535.0,1501.0,1430.0,1339.0,1353.0,1110.0,903.0,785.0,825.0,580.0,468.0
28,20230929,일,주말,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,279.0,218.0,128.0,119.0,160.0,217.0,411.0,771.0,1146.0,1264.0,1710.0,1941.0,2004.0,1673.0,1661.0,1440.0,1343.0,1376.0,1145.0,864.0,743.0,757.0,684.0,392.0
29,20230930,일,주말,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,339.0,194.0,129.0,125.0,129.0,217.0,365.0,476.0,747.0,968.0,1207.0,1563.0,1241.0,1335.0,1248.0,1160.0,1121.0,1189.0,1088.0,846.0,841.0,800.0,650.0,493.0
30,20230901,금,평일,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,837.0,608.0,476.0,313.0,268.0,507.0,850.0,1569.0,1761.0,1673.0,1506.0,1394.0,1312.0,1663.0,1673.0,1637.0,1901.0,1932.0,1952.0,1986.0,1723.0,1650.0,1346.0,1194.0
31,20230902,토,주말,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,844.0,634.0,497.0,325.0,337.0,403.0,560.0,774.0,1291.0,1391.0,1545.0,1510.0,1536.0,1766.0,1698.0,1720.0,1611.0,1729.0,1744.0,1430.0,1250.0,1527.0,1127.0,990.0
32,20230903,일,주말,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,723.0,551.0,387.0,273.0,255.0,321.0,380.0,503.0,826.0,1024.0,1273.0,1213.0,1452.0,1560.0,1640.0,1693.0,1756.0,1527.0,1500.0,1382.0,1240.0,1098.0,908.0,595.0
33,20230904,월,평일,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,451.0,333.0,278.0,215.0,258.0,476.0,945.0,1681.0,1661.0,1553.0,1536.0,1366.0,1461.0,1540.0,1608.0,1598.0,1607.0,1804.0,2170.0,1896.0,1729.0,1368.0,1104.0,927.0
34,20230905,화,평일,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,596.0,447.0,345.0,273.0,269.0,450.0,874.0,1610.0,1696.0,1658.0,1548.0,1360.0,1446.0,1452.0,1563.0,1628.0,1641.0,1975.0,2043.0,1980.0,1625.0,1660.0,1201.0,1063.0
